Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
267.4375,4279,16,4.05,2.85,4.43,54.8,0.539,1.5,0.576,10.9
267.5,4280,16.5,3.78,2.78,4.06,54.7,0.541,1.99,0.573,11
267.5625,4281,16,3.83,2.99,4.41,54.3,0.555,2.16,0.571,10.9
267.625,4282,16.2,3.87,2.84,4.59,54.6,0.544,1.72,0.573,10.9
267.6875,4283,16.3,3.76,3.05,4.22,54.8,0.554,1.64,0.569,11
267.75,4284,16.3,3.83,3.22,4.18,54.3,0.57,1.49,0.573,11
267.8125,4285,17.7,3.81,3.09,4.35,54.9,0.569,1.45,0.578,10.9
267.875,4286,17.3,3.85,2.83,4.3,55.3,0.575,1.64,0.575,11
267.9375,4287,16,3.72,2.72,4.24,55.2,0.558,1.44,0.567,11
268,4288,18.1,3.56,2.99,3.95,54.8,0.871,1.44,0.567,11
268.0625,4289,17.5,3.73,2.83,4.2,53.7,1.44,1.56,0.575,11
268.125,4290,16.6,3.93,2.5,4.53,55.6,2.01,1.5,0.572,10.9
268.1875,4291,20.2,3.8,2.62,4.41,57.7,1.95,1.41,0.571,11
268.25,4292,20.9,3.87,2.8,4.1,56.8,1.22,1.34,0.641,11
268.3125,4293,18.3,3.89,2.96,4.42,55.6,0.699,1.48,0.597,11.2
268.375,4294,15.3,3.78,3.23,4.32,58.5,0.598,3.88,0.582,11
268.4375,4295,15.5,3.95,3.53,4.2,60.3,0.538,7.87,0.591,12.7
268.5,4296,17.2,3.81,3.57,5.19,58.6,0.572,32.9,0.679,15.2
268.5625,4297,16.2,3.7,4.87,5.81,60.6,0.817,65.3,0.764,17.5
268.625,4298,36.7,3.84,4.91,5.71,62.7,1.02,59.7,0.839,20.2
268.6875,4299,58.5,3.84,4.18,6.02,61.7,0.861,18.3,3.71,19
268.75,4300,61.1,4.02,5,6.55,62.6,0.597,3.14,7.66,14.3
268.8125,4301,48.5,3.86,6.88,5.77,62.6,0.553,2.6,13.7,11.4
268.875,4302,61.9,3.7,16.9,4.64,63.6,0.563,2.82,12.6,15
268.9375,4303,69.9,3.86,23.7,5.26,61.4,0.79,2.6,4.24,15.7
269,4304,68,3.77,19.3,7.06,58.4,0.849,10.1,0.998,12.4
269.0625,4305,110,3.77,8.97,9.22,61.7,0.663,43.1,2.86,16.8
269.125,4306,340,3.8,8.24,8.75,62.4,0.583,88.6,3.15,22.1
269.1875,4307,369,3.75,12.7,9.47,62.5,0.563,90.7,1.81,18.7
269.25,4308,329,3.75,13.3,10.1,63.9,0.565,46.5,4,11.3
269.3125,4309,371,3.79,17.4,6.96,59.7,0.631,7.71,19.6,12.5
269.375,4310,265,3.82,15.6,4.21,54.8,0.686,10.4,19.7,22.2
269.4375,4311,124,3.72,4.48,7.72,72.2,0.623,71.2,4.79,22.7
269.5,4312,157,3.74,4.99,9.66,71.8,0.557,86.3,1.47,13.3
269.5625,4313,235,3.87,15.2,7.86,57.9,0.545,58.3,2.02,11.2
269.625,4314,242,3.65,15.7,8.93,61.3,0.559,31.1,2.05,14.6
269.6875,4315,335,3.79,7.79,13,70.9,0.677,8.08,1.59,20.8
269.75,4316,330,4.09,6.68,13.9,67.8,0.687,29.6,11.4,18.6
269.8125,4317,152,4.67,5.66,13,60.2,0.578,78.2,31,11
269.875,4318,100,5.33,11.5,17.5,62,0.557,78,30.3,11.9
269.9375,4319,125,5.14,20.7,22.1,66.1,0.545,53.3,9.6,21.2
270,4320,140,4.6,19.3,17.9,68.2,0.684,45.6,3.63,20.8
270.0625,4321,120,15.5,8.3,12.1,64.4,0.737,11.9,2.36,11.1
270.125,4322,274,76.3,5.35,18.9,60,0.627,48.9,3.55,12.9
270.1875,4323,287,87.8,5.42,17.2,60,0.573,75,5.18,20.7
270.25,4324,143,57.2,34.6,17.8,82.7,0.547,67.9,6.95,19.7
270.3125,4325,128,34.4,35.2,27.2,78.8,0.582,37.4,30.8,11.1
270.375,4326,176,6.25,10.5,22.9,60,0.682,12.1,31.3,12.8
270.4375,4327,167,33.1,8.06,11.6,64.5,0.737,17,8.38,20.6
270.5,4328,190,79.8,5.01,16.7,76.8,0.682,56.1,3.03,19.5
270.5625,4329,211,91.2,15.1,16.3,71.5,0.687,61.5,3.68,10.9
270.625,4330,132,55.9,20.9,8.2,59.4,1.04,37,4.9,14.1
270.6875,4331,78.3,18.6,16.7,8.04,63.2,1.67,25.3,37.2,21.2
270.75,4332,114,27.6,7.8,10.1,75.3,2.79,12.7,41.3,19.2
270.8125,4333,119,64.4,4.28,8.99,76.6,2.97,32.1,18.8,10.8
270.875,4334,236,79,7.78,7.08,65,2.13,74.9,4.53,12.4
270.9375,4335,280,63.6,27.4,4.99,61.7,1.26,74.4,2.13,25.1
271,4336,177,39,27.6,6.99,58.8,0.484,31.6,3.82,24.5
271.0625,4337,105,11.2,9.31,8.33,64.9,0.578,11.1,12.4,11
271.125,4338,114,56.3,5.96,12,63.4,0.583,12.7,45.6,12.5
271.1875,4339,147,81.6,5.09,13.9,61.1,0.554,48.7,45,19.7
271.25,4340,153,61.8,16.7,11.3,60.9,0.575,56.4,10.2,18.9
271.3125,4341,224,16.9,18.8,7.98,60.6,1.37,33.8,3.08,11.2
271.375,4342,226,11.7,15.9,6.4,59.3,2.56,20.7,2.89,14.9
271.4375,4343,150,67.2,13.1,6.65,59.6,2.43,15.1,11.4,20.2
271.5,4344,132,86.5,4.68,5.17,60.1,1.88,21.5,39.2,17.4
271.5625,4345,172,62.8,5.78,11.3,56.3,1.8,61,43,11
271.625,4346,175,29.8,18.8,12.9,60.1,0.937,65.3,22.6,13.9
271.6875,4347,198,12.9,18.9,7.8,59.9,0.535,33.2,14.2,22
271.75,4348,211,74.2,8.91,4.69,58.3,0.572,13.3,12.1,20.2
271.8125,4349,124,81,8.21,7.57,59.6,0.571,11.2,5.65,10.8
271.875,4350,121,41.1,5.75,10.2,63.5,0.575,37.1,13.3,14.3
271.9375,4351,133,22.9,14.5,16.9,60.3,0.57,50.7,49.9,21.6
272,4352,129,27.1,19.4,27.4,56.6,0.567,42.7,56.3,19.6
272.0625,4353,177,60.5,16.1,24,58.7,0.968,27,30.2,11.2
272.125,4354,187,55.8,9.33,8.4,60.1,1.59,14.7,10.5,11.6
272.1875,4355,138,13.5,4.97,10.8,63,1.61,48,10.5,17.6
272.25,4356,105,33.6,12.4,18.6,58.8,1.31,75.9,9.01,18.4
272.3125,4357,107,60.8,25.6,16.6,54,1.12,60.6,24.4,12.9
272.375,4358,144,51.4,23.1,19.5,56.8,0.726,17.5,65.4,12.5
272.4375,4359,140,10.6,6.34,20.3,62.6,0.559,13,68.2,16.9
272.5,4360,161,11.6,5.18,9.65,58,0.566,24,32.2,19.9
272.5625,4361,173,72.8,4.55,11.9,58.9,0.553,64.9,21.1,16.1
272.625,4362,126,78.3,20,30.5,61.4,0.564,64.4,21,11.6
272.6875,4363,173,38.4,20.7,29.3,57.4,0.569,36.5,38,14.6
272.75,4364,159,24.1,7.86,16.3,59.7,0.577,31.1,70.5,19.9
272.8125,4365,172,40,5.61,28.4,56.1,0.74,11.5,66.6,18
272.875,4366,176,72,5.35,26.8,55.9,1.61,41.8,32.5,11.3
272.9375,4367,133,61.3,17.3,17.2,57.8,1.78,92.8,17.6,13.2
273,4368,158,13.6,23.8,22.8,57.3,3.74,83.5,10.9,18.4
273.0625,4369,122,28.1,17.6,20.2,58.5,3.65,14.8,6.16,16.9
273.125,4370,192,86.4,5.92,16.1,55.5,0.673,13.1,14.4,10.9
273.1875,4371,238,82.6,3.94,31.9,58,0.572,20.8,31.9,12.3
273.25,4372,184,12.9,6.23,41.7,58.7,0.58,58.9,66.5,19.5
273.3125,4373,132,12.6,15.3,33.3,64,0.598,56.6,60.8,18.7
273.375,4374,151,46.5,14.7,20.8,85.4,0.588,16.3,12,10.9
273.4375,4375,132,56.8,5.51,22.3,81.5,0.588,13.1,9,12.6
273.5,4376,191,35.9,5.25,51.8,58,0.578,12.8,10.3,19.8
273.5625,4377,203,10.5,5.49,71.8,55.6,0.565,58.3,13.1,19
273.625,4378,166,29.2,14.8,62.3,60.2,0.568,64.1,44.3,11.4
273.6875,4379,188,43.2,20.1,38.2,58.2,0.795,41.3,72.7,13
273.75,4380,132,36.1,15,21.6,56,1.82,32.5,60.4,21.4
273.8125,4381,156,17,5.07,14.5,57.2,1.85,15.2,19.1,20.3
